,station,max_departure,station_name,station_lat,station_lng,max_arrival
347,KA1504000110,2.0,Millard Ave & 26th St,41.84453112462163,-87.71592199802399,2.0
348,KA1504000091,2.0,Hoyne Ave & 47th St,41.808227,-87.67718,1.0
349,TA1309000051,2.0,Commercial Ave & 83rd St,41.744615,-87.551208,1.0
350,16903,2.0,Cicero Ave & Lake St,41.886841,-87.745261,1.0
351,16912,2.0,Cicero Ave & Flournoy St,41.8721385,-87.74667266666667,1.0
352,16916,2.0,Central Ave & Madison St,41.880121,-87.763238,2.0
353,20205,2.0,Western Ave & 111th St,41.6912335,-87.68131716666667,1.0
354,20236,2.0,Stony Island Ave & 90th St,41.73139494330236,-87.58574366569519,2.0
355,20260.0,2.0,Ping Tom Park (East),41.86,-87.63,2.0
356,341,2.0,Archer Ave & 43rd St,41.82,-87.7,1.0
357,360,2.0,Kilbourn & Roscoe,41.94,-87.74,2.0
358,387,2.0,St Louis Ave & 59th St,41.79,-87.71,1.0
359,537,2.0,Kenton Ave & Madison St,41.8807305,-87.7410005,2.0
360,546,2.0,Damen Ave & Pershing Rd,41.823192,-87.676597,2.0
